ident,type,name,iso_region,iata_code
06NV,small_airport,Silver Creek Airport,US-NV,
06NY,small_airport,Murphy Field,US-NY,
06OH,small_airport,Hal Joy Airfield,US-OH,
06OI,small_airport,Green Acres Airport,US-OH,
06OR,small_airport,Hayden Mountain Airport,US-OR,
06PA,small_airport,Freefall Oz Airport,US-PA,
06R,small_airport,Grawunder Field,US-TX,
06SN,small_airport,Beyer Farm Airport,US-KS,
06TA,small_airport,Glaser Field,US-TX,
06TE,small_airport,Ainsworth Airport,US-TX,
06TN,small_airport,Hunter STOLport,US-TN,
06TX,small_airport,Diamond N Ranch Airport,US-TX,
06VA,small_airport,Mount Horeb Field,US-VA,
06WI,small_airport,Young Private Airport,US-WI,
06WN,small_airport,Western Airpark,US-WA,
06XS,small_airport,Campbell Field,US-TX,
06Y,small_airport,Herman Municipal Airport,US-MN,
07AA,small_airport,Pan Lake Strip Airport,US-AK,
07AR,small_airport,Morrilton Airport,US-AR,
07B,small_airport,Blue Hill Airport,US-ME,
07CL,small_airport,Richvale Airport,US-CA,
07CO,small_airport,Comanche Creek Airport,US-CO,
07D,small_airport,Tackaberry Airport,US-MI,
07FA,small_airport,Ocean Reef Club Airport,US-FL,OCA
07GA,small_airport,Alcovy Airport,US-GA,
07ID,small_airport,Interstate Airport,US-ID,
07IN,small_airport,Gray Airport,US-IN,
07K,small_airport,Central City Municipal - Larry Reineke Field,US-NE,
07KS,small_airport,Heape Field,US-KS,
07KY,small_airport,Blue Lick Airport,US-KY,
07MD,small_airport,Baugher's Orchard Airport,US-MD,
07MI,small_airport,Scott Airstrip,US-MI,
07MN,small_airport,Dairyview Airport,US-MN,
07MO,small_airport,Lake Sexton Airport,US-MO,
07MT,small_airport,Glasgow Industrial Airport,US-MT,
07N,small_airport,Bermudian Valley Airpark,US-PA,
07NC,small_airport,Hawks Meadow Airport,US-NC,
07NV,small_airport,Border Line Farm Airport,US-NV,
07OK,small_airport,Pleasant Valley Airport,US-OK,
07OR,small_airport,Bruce's Airport,US-OR,
07PN,small_airport,Folmar Airport,US-PA,
07SN,small_airport,Churchill Airport,US-KS,
07TA,small_airport,Salaika Aviation Airport,US-TX,
07TE,small_airport,Cuddihy Field,US-TX,
07TN,small_airport,Corntassel Airport,US-TN,
07TS,small_airport,Cross-Country Estates Airport,US-TX,
07UT,small_airport,E Northrop Grumman Airport,US-UT,
07VA,small_airport,Alpha Hotel Airport,US-VA,
07VT,small_airport,Meadow STOLport,US-VT,
07Y,small_airport,Hill City-Quadna Mountain Airport,US-MN,
08AK,small_airport,Fisher Airport,US-AK,
08B,small_airport,Merrymeeting Field,US-ME,
08CL,small_airport,Kistler Ranch Airport,US-CA,
08CO,small_airport,Terra Firma Airport,US-CO,
08F,small_airport,City of Coalgate Airport,US-OK,
08FA,small_airport,Duda Airstrip,US-FL,
08FD,small_airport,Sunniland Ranch Airport,US-FL,
08FL,small_airport,J. H. Hendrie Farms Airport,US-FL,
08GA,small_airport,Sapelo Island Airport,US-GA,
08ID,small_airport,Symms Airport,US-ID,
08IS,small_airport,Hemmer RLA Restricted Landing Area,US-IL,
08KS,small_airport,Alderson Airport,US-KS,
08KY,small_airport,Boss Airport,US-KY,
08LL,small_airport,Sauer Airport,US-IL,
08LS,small_airport,Aeleron Airport,US-LA,
08MA,small_airport,Wormid Airport,US-MA,
08ME,small_airport,Lindbergh Airport,US-ME,
08MO,small_airport,Twin Oaks Airport,US-MO,
